GMB	The Gambia	Gross national savings	Percent of GDP		5.689	2010
GMB	The Gambia	General government gross debt	Percent of GDP		67.377	2011
GEO	Georgia	Gross domestic product per capita, current prices	U.S. dollars	Units	2623.38	2009
GEO	Georgia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	5064.02	2009
GEO	Georgia	Total investment	Percent of GDP		21.888	2010
GEO	Georgia	Gross national savings	Percent of GDP		11.629	2010
GEO	Georgia	General government gross debt	Percent of GDP		39.163	2010
DEU	Germany	Gross domestic product per capita, current prices	U.S. dollars	Units	40512.53	2011
DEU	Germany	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	36172.68	2011
DEU	Germany	Total investment	Percent of GDP		17.488	2011
DEU	Germany	Gross national savings	Percent of GDP		23.524	2011
DEU	Germany	General government gross debt	Percent of GDP		82.394	2011
GHA	Ghana	Gross domestic product per capita, current prices	U.S. dollars	Units	1358.16	0
GHA	Ghana	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	2732.61	0
GHA	Ghana	Total investment	Percent of GDP		23.016	2010
GHA	Ghana	Gross national savings	Percent of GDP		14.629	2010
GHA	Ghana	General government gross debt	Percent of GDP		46.258	2009
GRC	Greece	Gross domestic product per capita, current prices	U.S. dollars	Units	26971.91	2010
GRC	Greece	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	27644.83	2010
GRC	Greece	Total investment	Percent of GDP		16.192	2011
GRC	Greece	Gross national savings	Percent of GDP		6.085	2011
GRC	Greece	General government gross debt	Percent of GDP		144.55	2011
GRD	Grenada	Gross domestic product per capita, current prices	U.S. dollars	Units	7534.64	2009
GRD	Grenada	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	13502.45	2009
GRD	Grenada	Total investment	Percent of GDP		20.32	2011
GRD	Grenada	Gross national savings	Percent of GDP		-4.843	2011
GRD	Grenada	General government gross debt	Percent of GDP		102.441	2011
GTM	Guatemala	Gross domestic product per capita, current prices	U.S. dollars	Units	2875.47	2005
GTM	Guatemala	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	4907.3	2005
GTM	Guatemala	Total investment	Percent of GDP		13.895	2011
GTM	Guatemala	Gross national savings	Percent of GDP		12.38	2011
GTM	Guatemala	General government gross debt	Percent of GDP		24.097	2011
GIN	Guinea	Gross domestic product per capita, current prices	U.S. dollars	Units	477.105	2009
GIN	Guinea	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	1049.25	2009
GIN	Guinea	Total investment	Percent of GDP		10.566	2009
GIN	Guinea	Gross national savings	Percent of GDP		-1.785	2009
GIN	Guinea	General government gross debt	Percent of GDP		79.146	2011
GNB	Guinea-Bissau	Gross domestic product per capita, current prices	U.S. dollars	Units	508.339	2004
GNB	Guinea-Bissau	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	1086.95	2004
GNB	Guinea-Bissau	Total investment	Percent of GDP		9.817	2011
GNB	Guinea-Bissau	Gross national savings	Percent of GDP		1.564	2011
GNB	Guinea-Bissau	General government gross debt	Percent of GDP		46.743	2011
GUY	Guyana	Gross domestic product per capita, current prices	U.S. dollars	Units	2931.47	2002
GUY	Guyana	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	7050.04	2002
GUY	Guyana	Total investment	Percent of GDP		16.751	2011
GUY	Guyana	Gross national savings	Percent of GDP		6.819	2011
GUY	Guyana	General government gross debt	Percent of GDP		65.33	2011
HTI	Haiti	Gross domestic product per capita, current prices	U.S. dollars	Units	664.743	0
HTI	Haiti	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	1163.46	0
HTI	Haiti	Total investment	Percent of GDP		25.433	2011
HTI	Haiti	Gross national savings	Percent of GDP		22.95	2011
HTI	Haiti	General government gross debt	Percent of GDP		17.327	2011
HND	Honduras	Gross domestic product per capita, current prices	U.S. dollars	Units	1950.21	2001
HND	Honduras	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	4286.56	2001
HND	Honduras	Total investment	Percent of GDP		22.956	2011
HND	Honduras	Gross national savings	Percent of GDP		16.734	2011
HND	Honduras	General government gross debt	Percent of GDP		26.343	2011
HKG	Hong Kong SAR	Gross domestic product per capita, current prices	U.S. dollars	Units	31786.48	2011
HKG	Hong Kong SAR	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	46462.83	2011
